position	positive	negative
1	0	-0.166666666666667
2	0	-0.333333333333333
3	0	-0.5
4	0	-0.666666666666667
5	0	-0.833333333333333
6	0	-1
7	0	-1
8	0	-1
9	0	-1
10	0	-1
11	0	-1
12	0	-1
13	0	-1
14	0	-1
15	0	-1
16	0	-1
17	0	-1
18	0	-1
19	0	-1
20	0	-1
21	0	-1
22	0	-1
23	0	-1
24	0	-1
25	0	-1
26	0	-1
27	0	-1
28	0	-1
29	0	-1
30	0	-1
31	0	-1
32	0	-1
33	0	-1
34	0	-1
35	0	-1
36	0	-1
37	0	-1
38	0	-1
39	0	-1
40	0	-1
41	0	-1
42	0	-1
43	0	-1
44	0	-1
45	0	-1
46	0	-1
47	0	-1
48	0	-1
49	0	-1
50	0	-1
51	0	-1
52	0	-1
53	0	-1
54	0	-1
55	0	-1
56	0	-1
57	0	-1
58	0	-1
59	0	-0.666666666666667
60	0	-0.333333333333333
61	0	0
62	0.333333333333333	0
63	0.666666666666667	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	1	0
101	1	0
102	1	0
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	1	0
126	1	0
127	1	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	0
135	1	0
136	1	0
137	1	0
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	1	0
152	1	0
153	1	0
154	1	0
155	1	0
156	1	0
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	1	0
175	1	0
176	1	0
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	1	0
193	1	0
194	0.666666666666667	0
195	0.333333333333333	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0.333333333333333	0
201	0.666666666666667	0
202	1	0
203	1	0
204	1	0
205	1	0
206	1	0
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	0.666666666666667	0
215	0.666666666666667	0
216	0.666666666666667	0
217	0.666666666666667	0
218	0.666666666666667	0
219	0.666666666666667	0
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	1	0
229	1	0
230	1	0
231	1	0
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	0.666666666666667	0
239	0.666666666666667	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	1	0
246	1	0
247	1	0
248	1	0
249	1	0
250	1	0
251	0.666666666666667	0
252	0.333333333333333	0
253	0	0
254	0	-0.333333333333333
255	0	-0.666666666666667
256	0	-1
257	0	-1
258	0	-1
259	0	-1
260	0	-0.666666666666667
261	0	-0.333333333333333
262	0	0
263	0	0
264	0.333333333333333	0
265	0.666666666666667	0
266	0.333333333333333	0
267	0.666666666666667	0
268	0.666666666666667	0
269	0.666666666666667	0
270	0.666666666666667	0
271	0.666666666666667	0
272	1	0
273	1	0
274	1	0
275	1	0
276	1	0
277	1	0
278	1	0
279	1	0
280	1	0
281	1	0
282	1	0
283	1	0
284	1	0
285	1	0
286	1	0
287	1	0
288	1	0
289	1	0
290	1	0
291	1	0
292	1	0
293	1	0
294	1	0
295	0.666666666666667	0
296	0.666666666666667	0
297	0.666666666666667	0
298	0.666666666666667	0
299	0.666666666666667	0
300	0.666666666666667	0
301	0.333333333333333	0
302	0.333333333333333	0
303	0	0
304	0	-0.333333333333333
305	0	-0.666666666666667
306	0	-0.666666666666667
307	0	-0.666666666666667
308	0	-1
309	0	-1
310	0	-1
311	0	-0.666666666666667
312	0	-0.666666666666667
313	0	-0.666666666666667
314	0	-0.666666666666667
315	0	-0.666666666666667
316	0	-0.666666666666667
317	0	-1
318	0	-1
319	0	-0.666666666666667
320	0	-0.666666666666667
321	0	-0.666666666666667
322	0	-1
323	0	-1
324	0	-1
325	0	-0.666666666666667
326	0	-0.666666666666667
327	0	-1
328	0	-1
329	0	-1
330	0	-1
331	0	-1
332	0	-1
333	0	-1
334	0	-1
335	0	-1
336	0	-1
337	0	-1
338	0	-1
339	0	-1
340	0	-1
341	0	-1
342	0	-1
343	0	-1
344	0	-1
345	0	-1
346	0	-1
347	0	-1
348	0	-1
349	0	-1
350	0	-1
351	0	-1
352	0	-0.833333333333333
353	0	-0.666666666666667
354	0	-0.5
355	0	-0.333333333333333
356	0	-0.166666666666667
357	0	0
